Designator,Mid X,Mid Y,Rotation,Layer
AC,0.8777,15.5052,0.0,top
BAT1,111.5088,-70.2198,0.0,top
C1,88.3809,-76.5698,0.0,top
C10,71.6167,-79.7448,180.0,top
C2,88.3807,-91.1748,180.0,top
C9,31.9928,-93.5877,90.0,top
D1,6.5929,-23.1028,180.0,top
D2,35.6759,-22.0868,180.0,top
D3,66.7909,-22.7218,180.0,top
D4,91.3018,-22.3409,90.0,top
D5,35.8029,-45.4548,180.0,top
D6,62.2188,-44.5659,90.0,top
D7,108.7008,-84.5708,270.0,top
FH1,55.7418,16.0132,0.0,top
HOLE_GGE9527,-12.4572,17.4102,0.0,top
HOLE_GGE9566,-12.7112,-93.7148,0.0,top
HOLE_GGE9581,127.2428,-93.5878,0.0,top
HOLE_GGE9596,127.6238,17.0292,0.0,top
LED1,7.3548,-73.5218,0.0,top
LED2,14.7208,-73.6488,0.0,top
LED3,21.7058,-73.6488,0.0,top
LED4,29.4528,-73.6488,0.0,top
LED5,37.4538,-73.6488,0.0,top
LED6,45.5818,-73.6488,0.0,top
OUT2,-12.3302,-4.3069,90.0,top
OUT3,-12.3302,-16.1179,90.0,top
OUT4,-12.3302,-28.0559,90.0,top
OUT5,-12.2032,-40.1209,90.0,top
OUT6,-12.0762,-51.6779,90.0,top
OUT_1,-12.4572,7.6311,90.0,top
Q1,2.0208,-10.6568,90.0,top
Q2,31.2308,-10.4028,90.0,top
Q3,62.2188,-10.5298,90.0,top
Q4,91.3018,-10.5298,90.0,top
Q5,31.3578,-33.3898,90.0,top
Q6,62.0918,-33.5168,90.0,top
R1,15.86365,2.0432,180.0,top
R13,53.07475,-75.6808,0.0,top
R14,60.69475,-76.4428,0.0,top
R15,-2.2972,-89.1428,180.0,top
R16,102.8588,-86.9838,0.0,top
R17,99.8108,-86.9838,0.0,top
R2,45.32765,2.2972,180.0,top
R3,75.17265,2.1702,180.0,top
R4,104.38265,-24.4998,180.0,top
R5,22.0868,-35.29465,90.0,top
R6,75.93465,-47.4868,180.0,top
R7,42.5338,-79.6178,180.0,top
RLY1,14.8479,-11.6728,0.0,top
RLY2,44.3119,-11.5458,0.0,top
RLY3,74.1569,-11.5458,0.0,top
RLY4,103.4939,-11.5458,0.0,top
RLY5,44.3119,-34.9138,0.0,top
RLY6,74.4109,-34.9138,0.0,top
SW1,-2.9322,-81.5228,0.0,top
SW2,42.0258,-88.7618,0.0,top
U1,19.2928,-87.4583,90.0,top
U10,105.5258,10.0442,0.0,top
U13,101.4619,-94.0317,0.0,top
U14,75.0458,-86.2218,270.0,top
U2,58.5358,-85.3328,270.0,top
U3,8.2438,-65.0128,270.0,top
U4,15.3558,-65.1398,270.0,top
U5,22.5948,-65.0128,270.0,top
U6,30.0878,-65.0128,270.0,top
U7,38.3428,-65.1398,270.0,top
U8,46.5978,-65.1398,270.0,top
U9,88.3808,-84.1027,90.0,top
